地区	指标	地区名	指标名	2009	2010	2011	2012	2013	2014	2015	2016	2017
420000	A070706	湖北省	单位地区生产总值电耗(等价值)_同比增长	-5.52	na_rep	-4.2	na_rep	na_rep	na_rep	-7.65	na_rep	na_rep
430000	A070609	湖南省	电力消费量	1010.5702	1171.91	1293.4368	1346.5	1423.1	1430.88	1447.6266	1495.6512	1581.5138
430000	A070701	湖南省	单位地区生产总值能耗(等价值)	1.202	1.17	0.894	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
430000	A070702	湖南省	单位地区生产总值能耗(等价值)_同比增长	-5.1	na_rep	-3.68	na_rep	na_rep	na_rep	-6.98	na_rep	na_rep
430000	A070703	湖南省	单位工业增加值能耗(规模以上当量值)	1.57	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
430000	A070704	湖南省	单位工业增加值能耗(规模以上当量值)_同比增长	-13.68	na_rep	-8.61	na_rep	na_rep	na_rep	-12.69	na_rep	na_rep
430000	A070705	湖南省	单位地区生产总值电耗(等价值)	911.0	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
430000	A070706	湖南省	单位地区生产总值电耗(等价值)_同比增长	-3.05	na_rep	-2.1	na_rep	na_rep	na_rep	-6.82	na_rep	na_rep
440000	A070609	广东省	电力消费量	3609.6424	4060.13	4399.0168	4619.4	4830.1	5235.23	5310.69192152	5610.1342030000005	5958.9678
440000	A070701	广东省	单位地区生产总值能耗(等价值)	0.684	0.664	0.563	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
440000	A070702	广东省	单位地区生产总值能耗(等价值)_同比增长	-4.27	na_rep	-3.78	na_rep	na_rep	na_rep	-5.71	na_rep	na_rep
440000	A070703	广东省	单位工业增加值能耗(规模以上当量值)	0.809	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
440000	A070704	广东省	单位工业增加值能耗(规模以上当量值)_同比增长	-6.94	na_rep	-5.13	na_rep	na_rep	na_rep	-10.47	na_rep	na_rep
440000	A070705	广东省	单位地区生产总值电耗(等价值)	1002.09	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
440000	A070706	广东省	单位地区生产总值电耗(等价值)_同比增长	-6.13	na_rep	-1.46	na_rep	na_rep	na_rep	-6.08	na_rep	na_rep
450000	A070609	广西壮族自治区	电力消费量	856.3511	993.24	1112.2063	1153.9	1237.7	1307.99	1334.3203	1359.6487960000002	1442.3388
450000	A070701	广西壮族自治区	单位地区生产总值能耗(等价值)	1.057	1.036	0.8	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
450000	A070702	广西壮族自治区	单位地区生产总值能耗(等价值)_同比增长	-4.43	na_rep	-3.36	na_rep	na_rep	na_rep	-5.11	na_rep	na_rep
